Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
credit,report,debt,loan,payment,card,loan,loan,fargo,bank
account,credit,collection,report,pay,credit,debt,account,wells,check
report,debt,loan,credit,debt,number,bank,pay,account,report
payment,remove,company,mortgage,late,tell,pay,number,number,america
pay,collection,owe,payment,credit,phone,credit,phone,phone,inquiry
debt,dispute,letter,modification,card,inquiry,fargo,tell,pay,payment
loan,account,collect,inquiry,charge,say,card,say,tell,debt
bank,equifax,phone,equifax,collection,use,wells,report,report,money
card,experian,agency,home,fee,score,america,student,home,credit
tell,agency,number,remove,balance,ask,collection,work,payment,deposit
